OrderID,OrderDate,Region,Category,Product,Sales,Profit,Quantity
1001,2026-01-05,South,Technology,Laptop,55000,8000,1
1002,2026-01-08,North,Furniture,Office Chair,7500,1200,2
1003,2026-01-12,West,Office Supplies,Notebook Pack,1200,300,10
1004,2026-01-15,East,Technology,Wireless Mouse,1800,450,3
1005,2026-02-02,South,Furniture,Study Table,12000,1800,1
1006,2026-02-10,North,Technology,Keyboard,2500,600,2
1007,2026-02-14,West,Office Supplies,Pen Set,800,200,20
1008,2026-02-20,East,Technology,Monitor,16000,2500,1
1009,2026-03-04,South,Technology,Smartphone,30000,5000,1
1010,2026-03-07,North,Furniture,Bookshelf,9500,1300,1
1011,2026-03-13,West,Office Supplies,Printer Paper,1500,350,15
1012,2026-03-21,East,Furniture,Sofa Chair,18000,2200,1
1013,2026-04-01,South,Office Supplies,Desk Organizer,2200,500,4
1014,2026-04-06,North,Technology,Tablet,22000,3500,1
1015,2026-04-12,West,Furniture,Cabinet,14000,1600,1
1016,2026-04-20,East,Office Supplies,Marker Set,900,180,8
1017,2026-05-03,South,Technology,Headphones,4500,900,2
1018,2026-05-08,North,Office Supplies,Files Folder,1100,250,12
1019,2026-05-15,West,Technology,Printer,12500,2000,1
1020,2026-05-22,East,Furniture,Office Desk,15000,2100,1
1021,2026-06-02,South,Furniture,Ergonomic Chair,11000,1700,1
1022,2026-06-07,North,Technology,External Hard Disk,6500,1200,2
1023,2026-06-12,West,Office Supplies,Stapler,700,160,5
1024,2026-06-18,East,Technology,Webcam,3500,700,2
1025,2026-07-02,South,Technology,Laptop,57000,8500,1
1026,2026-07-09,North,Furniture,Office Chair,8000,1300,2
1027,2026-07-17,West,Office Supplies,Notebook Pack,1600,400,12
1028,2026-07-23,East,Technology,Monitor,17000,2700,1
1029,2026-08-04,South,Furniture,Study Table,13000,1900,1
1030,2026-08-11,North,Technology,Smartphone,32000,5200,1
1031,2026-08-16,West,Office Supplies,Pen Set,950,230,25
1032,2026-08-21,East,Furniture,Sofa Chair,19000,2500,1
1033,2026-09-02,South,Technology,Tablet,23000,3600,1
1034,2026-09-10,North,Office Supplies,Printer Paper,1800,420,18
1035,2026-09-14,West,Furniture,Cabinet,15500,1800,1
1036,2026-09-24,East,Technology,Keyboard,2800,650,2
